09:49:41.801 [main] INFO  c.a.n.c.u.ParamUtil - [<clinit>,87] - [settings] [req-serv] nacos-server port:8848
09:49:41.804 [main] INFO  c.a.n.c.u.ParamUtil - [<clinit>,98] - [settings] [http-client] connect timeout:1000
09:49:41.806 [main] INFO  c.a.n.c.u.ParamUtil - [<clinit>,105] - PER_TASK_CONFIG_SIZE: 3000.0
09:49:41.850 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
09:49:41.851 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
09:49:41.855 [main] INFO  c.a.n.c.a.r.i.CredentialWatcher - [loadCredential,165] - null No credential found
09:49:42.443 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,63] - LOCAL_SNAPSHOT_PATH:C:\Users\Administrator\nacos\config
09:49:42.447 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,108] - [RpcClientFactory] create a new rpc client of a558ed53-995a-41a7-a8a6-28fd0b61b450_config-0
09:49:42.496 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,63] - [a558ed53-995a-41a7-a8a6-28fd0b61b450_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$565/0x0000018d2730cd40
09:49:42.497 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,63] - [a558ed53-995a-41a7-a8a6-28fd0b61b450_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$566/0x0000018d2730d160
09:49:42.498 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,63] - [a558ed53-995a-41a7-a8a6-28fd0b61b450_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
09:49:42.498 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,63] - [a558ed53-995a-41a7-a8a6-28fd0b61b450_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
09:49:42.509 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,63] - [a558ed53-995a-41a7-a8a6-28fd0b61b450_config-0] Try to connect to server on start up, server: {serverIp = 'localhost', server main port = 8848}
09:49:42.554 [main] INFO  c.a.n.c.r.c.g.GrpcClient - [createNewManagedChannel,182] - grpc client connection server:localhost ip,serverPort:9848,grpcTslConfig:{"sslProvider":"OPENSSL","enableTls":false,"mutualAuthEnable":false,"trustAll":false}
09:49:44.449 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,63] - [a558ed53-995a-41a7-a8a6-28fd0b61b450_config-0] Success to connect to server [localhost:8848] on start up, connectionId = 1737424184167_172.17.0.1_59708
09:49:44.450 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,63] - [a558ed53-995a-41a7-a8a6-28fd0b61b450_config-0] Notify connected event to listeners.
09:49:44.451 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.c.i.ClientWorker - [onConnected,639] - [a558ed53-995a-41a7-a8a6-28fd0b61b450_config-0] Connected,notify listen context...
09:49:44.451 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,63] - [a558ed53-995a-41a7-a8a6-28fd0b61b450_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
09:49:44.451 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,63] - [a558ed53-995a-41a7-a8a6-28fd0b61b450_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$586/0x0000018d274545a0
09:49:44.526 [main] INFO  c.a.n.c.c.i.Limiter - [<clinit>,62] - limitTime:5.0
09:49:44.606 [main] INFO  c.a.n.c.c.u.JvmUtil - [<clinit>,54] - isMultiInstance:false
09:49:44.614 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - [initialize,108] - Located property source: [BootstrapPropertySource {name='bootstrapProperties-oj-system-local.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-oj-system.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-oj-system,DEFAULT_GROUP'}]
09:49:44.621 [main] INFO  c.f.s.OjSystemApplication - [logStartupProfileInfo,636] - The following 1 profile is active: "local"
09:49:45.614 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [multipleStoresDetected,294] - Multiple Spring Data modules found, entering strict repository configuration mode
09:49:45.619 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,138] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
09:49:45.656 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,208] - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
09:49:45.892 [main] INFO  o.s.c.c.s.GenericScope - [setSerializationId,282] - BeanFactory id=985706f6-a163-3475-b70f-2fdfbf71d19f
09:49:46.437 [main] INFO  o.s.b.w.e.t.TomcatWebServer - [initialize,108] - Tomcat initialized with port(s): 9201 (http)
09:49:46.448 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9201"]
09:49:46.449 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
09:49:46.449 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/10.1.4]
09:49:46.542 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
09:49:46.542 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [prepareWebApplicationContext,291] - Root WebApplicationContext: initialization completed in 1900 ms
09:49:49.479 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9201"]
09:49:49.498 [main] INFO  o.s.b.w.e.t.TomcatWebServer - [start,220] - Tomcat started on port(s): 9201 (http) with context path ''
09:49:49.503 [main] INFO  c.a.n.client.naming - [initNamespaceForNaming,62] - initializer namespace from ans.namespace attribute : null
09:49:49.504 [main] INFO  c.a.n.client.naming - [lambda$initNamespaceForNaming$0,66] - initializer namespace from ALIBABA_ALIWARE_NAMESPACE attribute :null
09:49:49.505 [main] INFO  c.a.n.client.naming - [lambda$initNamespaceForNaming$1,73] - initializer namespace from namespace attribute :null
09:49:49.518 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
09:49:49.519 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
